Manufacturer,CPU manufacturer,CPU brand modifier,CPU generation,CPU Speed (GHz),RAM (GB),RAM Type,Bus (MHz),Storage (GB),Screen Size (inch),Screen Resolution,Refresh Rate (Hz),GPU manufacturer,Weight (kg),Battery,Price (VND)
acer,AMD,Ryzen 5 6600h,6.0,,16.0,,,512.0,15.6,,,NVIDIA,,,22290000.0
acer,Intel,i7-13620h,13.0,,16.0,DDR5,,512.0,15.6,,,Intel,,,16690000.0
acer,Intel,i3-1305u,13.0,,8.0,,,8.0,14.0,2560x1440,,Intel,,,9490000.0
laptop,Intel,i7-12650h,12.0,,16.0,,,512.0,15.6,,,NVIDIA,,,22590000.0
acer,Intel,i7-13620h,13.0,,16.0,,,512.0,15.6,,,NVIDIA,,,29190000.0
acer,Intel,i5-1335u,13.0,,16.0,DDR5,,16.0,14.0,2560x1440,,Intel,1.5,,15690000.0
acer,Intel,i9-13900h,13.0,,16.0,,,512.0,15.6,,,Intel,,,18490000.0
acer,Intel,i7-1255u,12.0,,16.0,,,16.0,16.0,,,Intel,,,15690000.0
acer,Intel,i5-1334u,13.0,,16.0,,,512.0,16.0,1920x1080,,Intel,,,13990000.0
acer,,,,,,,,6.0,15.6,,,NVIDIA,,,23990000.0
acer,,,,,,,,6.0,15.6,1920x1080,180.0,NVIDIA,,,26690000.0
acer,Intel,i7-12650h,12.0,,16.0,,,512.0,15.6,,,Intel,,,15690000.0
acer,,,,,16.0,,,512.0,15.6,,,NVIDIA,,,17390000.0
acer,Intel,Core Ultra 5,,,16.0,,,16.0,14.0,,,Intel,,,22990000.0
acer,,,,,32.0,,,32.0,15.6,,,NVIDIA,,,17990000.0
acer,Intel,Core Ultra 7,,,,,,,14.0,,,Intel,,,20790000.0
laptop,,,,,,,,,17.0,,,Intel,,,
msi,,,,,,,,,15.0,,,Intel,,,
msi,,,,,,,,,17.0,,,Intel,,,
t,,,,,,,,,,,,Intel,,,
msi,AMD,Ryzen 7 260,2.0,,16.0,,,16.0,15.6,,,AMD,,,18490000.0
msi,Intel,i5-13420h,13.0,,16.0,,,512.0,15.6,1920x1080,144.0,NVIDIA,,,18290000.0
msi,Intel,i7-13620h,13.0,,,,,8.0,15.6,,,NVIDIA,,,28490000.0
msi,Intel,i5-1334u,13.0,,16.0,,,512.0,14.0,,,Intel,,,12990000.0
msi,,,,,,,,,15.6,1920x1080,,Intel,,,19490000.0
msi,Intel,i5-13420h,13.0,,24.0,,,24.0,15.6,,144.0,NVIDIA,,,23190000.0
msi,Intel,i5-13500h,13.0,,16.0,,,6.0,15.6,,,NVIDIA,,,20990000.0
msi,Intel,i5-13420h,13.0,,,,,6.0,15.6,,,NVIDIA,,,19990000.0
msi,Intel,i5-13420h,13.0,,,,,16.0,15.6,,144.0,NVIDIA,,,20790000.0
msi,Intel,i5-13420h,13.0,,16.0,,,4.0,15.6,,144.0,NVIDIA,,,18290000.0
msi,Intel,i7-13620h,13.0,,16.0,,,512.0,15.6,,144.0,NVIDIA,,,22490000.0
msi,,,,,16.0,,,16.0,16.0,2560x1440,,AMD,,,25490000.0
msi,Intel,i7-13620h,13.0,,,,,4.0,15.6,,144.0,NVIDIA,1.86,,19790000.0
msi,Intel,i5-1334u,13.0,,16.0,,,512.0,15.6,,,Intel,1.7,,13490000.0
msi,,,,,,,,8.0,15.6,2560x1440,165.0,NVIDIA,,,42490000.0
msi,,,,,,,,12.0,16.0,,,NVIDIA,,,48990000.0
msi,,,,,,,,8.0,15.6,,,NVIDIA,,,35490000.0
msi,,,,,,,,8.0,15.6,,,NVIDIA,,,36490000.0
msi,,,,,16.0,,,512.0,15.6,,,NVIDIA,,,37990000.0
msi,,,,,,,,8.0,15.6,,,NVIDIA,,,29990000.0
msi,,,,,32.0,,,8.0,15.6,2560x1440,165.0,NVIDIA,,,33990000.0
msi,,,,,16.0,,,512.0,15.6,2560x1440,165.0,NVIDIA,,,34990000.0
msi,Intel,Core Ultra 9,,,,,,8.0,16.0,2560x1440,240.0,NVIDIA,,,40990000.0
msi,Intel,i5-13420h,13.0,,16.0,,,16.0,15.6,,144.0,NVIDIA,,,20290000.0
msi,Intel,Core Ultra 7,,,,,,8.0,16.0,,,NVIDIA,,,38990000.0
msi,,,,,,,,16.0,16.0,2560x1440,240.0,NVIDIA,,,66790000.0
msi,,,,,,,,8.0,16.0,,,NVIDIA,,,66690000.0
msi,,,,,,,,6.0,15.6,,,NVIDIA,,,16490000.0
msi,,,,,32.0,,,12.0,16.0,,,NVIDIA,,,73390000.0
msi,Intel,Core Ultra 7,,,,,,16.0,16.0,2560x1440,,NVIDIA,,,45990000.0
lg,Intel,i5-1334u,13.0,,16.0,,,512.0,15.6,1920x1080,,Intel,,,13990000.0
